valid_time,temperatura_2m,velocidad_viento,precipitacion,presion_superficial
2024-09-23 00:00:00,15.586214,1.3781285,0.72901493,933.1174
2024-09-23 12:00:00,21.796017,2.5685577,0.10497859,933.0801
2024-09-24 00:00:00,14.976344,1.3598589,0.1890616,932.6344
2024-09-24 12:00:00,21.81824,2.7683148,0.003113567,932.09863
2024-09-25 00:00:00,14.298159,2.5289762,0.010867032,933.53326
2024-09-25 12:00:00,21.783918,3.7471552,0.018154107,933.7535
2024-09-26 00:00:00,17.959293,3.5206099,0.04997815,932.2364
2024-09-26 12:00:00,25.386354,5.691447,0.052618064,930.21313
2024-09-27 00:00:00,18.250927,3.561836,0.12285116,931.9246
2024-09-27 12:00:00,21.725422,4.142596,0.005055725,932.7755
2024-09-28 00:00:00,12.956024,2.9746547,0.049392994,937.10913
2024-09-28 12:00:00,18.472464,2.3525655,0.00010308068,939.95447
2024-09-29 00:00:00,11.538814,1.4724579,0.00081919564,941.93884
2024-09-29 12:00:00,20.947958,2.153004,0.004270226,941.3021
2024-09-30 00:00:00,14.045022,1.4112469,0.0047780294,939.89746
2024-09-30 12:00:00,24.18546,1.433169,0.001235353,939.6003
2024-10-01 00:00:00,14.428123,1.4351188,0.0020909458,937.1773
2024-10-01 12:00:00,24.806408,2.6264133,0.01319622,934.43494
2024-10-02 00:00:00,15.667097,2.2161746,0.01319622,932.6569
2024-10-02 12:00:00,24.651474,3.5649526,0.13899596,929.87946
2024-10-03 00:00:00,18.875498,5.1544833,2.84875,926.153
2024-10-03 12:00:00,20.94023,3.9143138,0.060278144,930.50464
2024-10-04 00:00:00,13.277012,1.9534043,0.06733813,932.1877
2024-10-04 12:00:00,21.640102,3.0097165,0.0024088083,932.0285
2024-10-05 00:00:00,13.3260765,1.3407408,0.005751367,932.73785
2024-10-05 12:00:00,23.30536,2.4902275,0.0013637386,931.936
2024-10-06 00:00:00,16.961386,2.5787952,0.0018512965,930.83514
2024-10-06 12:00:00,25.692173,4.18491,0.00096740207,930.4174
2024-10-07 00:00:00,17.98682,2.1317267,0.016659578,929.0057
2024-10-07 12:00:00,25.750858,4.2705917,0.002865368,925.93304
2024-10-08 00:00:00,16.186274,3.7956176,1.1509099,925.8996
2024-10-08 12:00:00,20.205442,5.6462646,0.57963574,930.04004
2024-10-09 00:00:00,15.404911,2.8827987,1.1374477,929.5492
2024-10-09 12:00:00,22.76822,6.2216516,0.17729875,923.4408
2024-10-10 00:00:00,17.056105,4.3816624,0.6580626,925.8011
2024-10-10 12:00:00,18.95019,3.774883,0.04536682,930.406
2024-10-11 00:00:00,11.957832,1.6699601,0.04559253,932.6722
2024-10-11 12:00:00,19.217688,1.8543801,0.020921316,933.22455
2024-10-12 00:00:00,14.290482,1.8023509,0.130136,932.4029
2024-10-12 12:00:00,21.006512,2.601901,2.4356415,931.6042
2024-10-13 00:00:00,14.25111,1.311005,3.6016145,935.2473
2024-10-13 12:00:00,22.713747,3.7746148,0.50420034,936.6113
2024-10-14 00:00:00,15.6488495,1.5992042,0.80235004,936.5337
2024-10-14 12:00:00,22.828102,2.9192083,0.32769012,935.076
2024-10-15 00:00:00,17.1658,2.4243865,0.7687728,932.94244
2024-10-15 12:00:00,19.871021,3.3867211,4.0313106,929.4351
2024-10-16 00:00:00,14.420994,1.806078,7.033723,928.61017
2024-10-16 12:00:00,21.21947,4.3071837,1.2944725,928.9687
2024-10-17 00:00:00,15.677873,2.2470872,2.3813162,930.85583
2024-10-17 12:00:00,16.11443,6.4057465,1.857366,932.0587
2024-10-18 00:00:00,11.433913,3.873415,2.749114,936.9577
2024-10-18 12:00:00,16.749897,4.846003,0.0019740234,937.4676
2024-10-19 00:00:00,10.177165,2.4755573,0.006199924,937.2788
2024-10-19 12:00:00,19.499748,3.1482723,0.14909633,938.1285
2024-10-20 00:00:00,12.274707,2.0807583,0.15349308,939.4068
2024-10-20 12:00:00,21.041262,1.6294641,0.0011081947,940.7361
2024-10-21 00:00:00,14.047383,1.2279937,0.005165901,941.8837
2024-10-21 12:00:00,20.921337,1.7671891,0.0077759023,942.17175
2024-10-22 00:00:00,14.219413,1.0723957,0.05534085,942.6087
2024-10-22 12:00:00,18.493635,3.3874938,0.30742833,943.26556
2024-10-23 00:00:00,13.783313,2.0943787,1.3845135,944.26495
2024-10-23 12:00:00,16.634338,2.5927944,2.0281372,944.2852
2024-10-24 00:00:00,12.3397875,1.3818856,3.1448803,942.57043
